ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,AriaRPG\AriaRPG.csproj,File,AriaRPG\AriaRPG.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 6.0.36,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 6.0.36  Recommandation :  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 9.0.14"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,AriaRPG\AriaRPG.csproj,File,AriaRPG\AriaRPG.csproj,,,,,,,,Infrastructure cible actuelle: net6.0 Infrastructure cible recommandé: net9.0
